"PM25","timestamp","lat","lon"
20.4545454545455,"2021-01-08_19",23.461,120.24
19.3,"2021-01-08_19",23.6,120.179
11.1,"2021-01-08_19",23.484,120.488
54.75,"2021-01-08_19",23.241,120.126
4.09090909090909,"2021-01-08_19",23.417,121.371
1.45454545454545,"2021-01-08_19",23.497,121.446
2.72727272727273,"2021-01-08_19",23.978,121.595
6,"2021-01-08_19",24.829,121.071
3.57142857142857,"2021-01-08_19",24.936,121.887
29,"2021-01-08_19",22.992,120.294
25.7727272727273,"2021-01-08_19",23.099,120.225
19.9090909090909,"2021-01-08_19",23.604,120.394
32.0909090909091,"2021-01-08_19",23.046,120.446
31.1818181818182,"2021-01-08_19",23.317,120.403
8.91666666666667,"2021-01-08_19",24.973,121.102
21.2727272727273,"2021-01-08_19",23.123,120.2
25.15,"2021-01-08_19",22.582,120.488
8.66666666666667,"2021-01-08_19",24.926,121.018
9,"2021-01-08_19",23.466,121.406
52,"2021-01-08_19",24.445,118.377
4.1,"2021-01-08_19",23.43,121.348
29.8181818181818,"2021-01-08_19",23.034,120.268
10.8181818181818,"2021-01-08_19",25.041,121.291
12,"2021-01-08_19",23.461,120.456
1.3,"2021-01-08_19",24.126,121.653
2.1,"2021-01-08_19",23.782,121.563
33.6363636363636,"2021-01-08_19",23.534,120.457
23.7,"2021-01-08_19",22.346,120.369
6.13333333333333,"2021-01-08_19",24.382,120.759
26.9090909090909,"2021-01-08_19",22.528,120.65
18.2222222222222,"2021-01-08_19",22.749,120.485
5.9,"2021-01-08_19",24.89,121.054
33.2,"2021-01-08_19",22.669,120.498
9.2,"2021-01-08_19",24.836,121.019
16.1,"2021-01-08_19",24.791,120.957
12.6363636363636,"2021-01-08_19",24.96,121.175
18.3636363636364,"2021-01-08_19",24.266,120.809
5.5,"2021-01-08_19",24.814,121.025
7.1,"2021-01-08_19",24.811,121.03
1,"2021-01-08_19",24.668,121.654
0.4,"2021-01-08_19",24.437,121.381
20.3333333333333,"2021-01-08_19",22.571,120.575
3,"2021-01-08_19",24.771,121.754
12.3,"2021-01-08_19",23.62,120.459
5.45454545454545,"2021-01-08_19",24.704,121.048
11.5454545454545,"2021-01-08_19",24.329,121.74
4.2,"2021-01-08_19",23.285,121.286
1.3,"2021-01-08_19",23.406,121.32
30.2727272727273,"2021-01-08_19",23.512,120.472
20.2727272727273,"2021-01-08_19",23.556,120.345
13.0909090909091,"2021-01-08_19",24.926,121.104
16.9090909090909,"2021-01-08_19",23.542,120.19
13.5454545454545,"2021-01-08_19",24.938,121.127
23.2727272727273,"2021-01-08_19",23.006,120.197
24.8181818181818,"2021-01-08_19",22.963,120.236
22.8181818181818,"2021-01-08_19",24.139,120.669
